Prompt,Response,Category
I am tired of getting in trouble and  being in and out of the ER.  This is my third visit this year. Maybe I need to change my life.,Being in and out of the ER and getting into trouble are starting to get tiring. You're considering what it would take to change things around.,complex
Sometimes I feel guilty that I hurt her.  People tell me real men don't hit their women. I don't know. Maybe they're right.,"Being labeled a real man' is important to you. If you have to stop hitting her to be labeled a real man', you're thinking you might want to start changing how you treat her.",complex
We fight a lot. But I love him. My friends all say I should leave him.  They say he's abusive. But where would I go? Maybe my life would be better without him.,You're curious what your life would look like without him. You might make the deicison to leave if you had someplace else to go.,complex
I don't see the big deal about this.  Everyone has to go at it once in a while. You gotta' stand up for yourself.  Though I am getting tired of coming here to get fixed up.  I keep getting these bills in the mail. One day they gonna take my car or something.,You're worried about what might happen if you keep getting into fights that send you to the hospital.,complex
I would quit if I had another way to cope with all the stress,You're starting to think about what it would take to quit for good.,complex
I think maybe I am addicted to the bull.  That scares me.  Maybe it's time to do something about it.,The thought of being addicted is concerning to you so you're starting to think about what you can do.,complex
"I know, I know, I have to quit, every day I say this is my last dip. I just need a little push.","You find yourself trying to quit every day. You're motivated to quit, you just haven't found the right tools to get you there. ",complex
"Of course, I want a healthy baby, I just need to get through this pregnancy. My other son is so worried about me chewing. I don't want him to worry.",You really want a healthy baby and you recognize that you may need to quit chewing to have one.,complex
"I'm not ready to stop today, but soon. I know I have to stop, everything I read says it is bad. I think about it a lot, I know my husband would be relieved.",Every day it feels like you're getting closer and closer to your time to quit.,complex
Maybe if I got a little more exercise it would help me quit.,"If you could figure out a way to get more exercise, you think you might be able to quit.",complex
"I know I should quit, I know it's bad for my baby, but everyone I know does it.","You'd really like to quit for yourself and for your baby, but you're worried you might not get the support you need since everyone close to you also smokes. ",complex
I know its bad to have my phone out all the time. I have so many emails coming in. Sometimes I want to space out and check my Instagram.,Your phone seems like a necessity. Sometimes you need it for work and other times it's a much needed distraction.,complex
"I know its better to wear a helmet, but I really enjoy the freedom of riding without restraints, makes me feel unstoppable.","Riding without a helmet is better for you, but it's hard to wear one because you enjoy riding without restraints. ",complex
I don't know if I want to vaccinate my child. I want to protect my child against disease but some of my friends think it causes autism. I'm not sure it does but I will regret it if something happened.,"You've heard that there might be a connection between vaccination and autism but you're not sure if it's true. If it's ok with you, I can share more...",complex
"I have a hard time checking my blood sugar, so busy with the kids and work, kept thinking about that time I checked my sugar and ended up giving myself too much insulin, don't want end up like my mom.",It's hard to find a middle ground between checking your blood sugar often enough and giving yourself the right amount of insulin.,complex
"I know I am overdue with a colonoscopy, did it when I was 50. I'm 60 now. The prep was horrible. Mine turned out fine and no one in my family has had colon cancer. ",You know that you're due for a colonoscopy but you're not feeling like it's that urgent because your last test was fine and you don't have a family history of cancer.,complex
Never had money growing up. Making more now than I never had. Love to treat myself. I pay my credit cards. Yes they are maxed out. I had to take out a loan for my house but that was worth it.,The thought of being in debt doesn't concern you at all.,complex
"A lot on my plate, work, school, planning a wedding. Things will calm down eventually but I cannot sleep or eat enough now.",You're feeling anxious by everything going on right now and it's having an effect on every aspect of your life.,complex
Most of the time I am really good about taking the pill but sometimes it slips my mind. Maybe I should ask my partner to use a condom but that kills the mood.,You are committed to using protection. It's just a matter of whether you figure out a way to take your birth control pills exactly as prescribed or ask your partner to take responsibility for birth control.,complex
"I am willing to give condoms a try but my partner isn't. He tells me he trusts me so there is no point. Truth is, I don't know how I can tell him that I have been cheating.",You want to do the right thing to protect you and your partner but you're worried that if you push it too much you'll have to tell him the truth about your other relationships.,complex
"I drink a bit and smoke a little weed, sure it ain't good for me, but I don't see how I can make it through without it. I am anxious from the nightmares. It's not like I am a drug addict. I'll stop in a few months, after I get settled into being back home. ",You eventually would like to be get through your day without weed.,complex
"Well, I have just been really busy lately. I have a full-time job, and taking care of my family is my other full-time job. I really have no time for working out and eating healthy. Sometimes grabbing fast food or prepared food at the grocery store is all I have to give me an extra ten minutes of sleep. At one time, I used to eat salad at every meal and I  liked that light feeling it gave me, but nowadays it is impossible to try and regulate what I am eating. We generally eat hamburgers and fries from McDonald's. Sometimes my husband grabs a rotisserie chicken from the local grocery store. Really, I am just so tired at night, and I really just don't have the energy to cook a healthy well balanced meal.","You used to eat salad and you miss the feeling it gave you. If you had more time, you would like to feed you family something healthier. There is something about exercise and eating better than you would like in your life.
",complex
"I realize that I need to exercise, but it is next to impossible. I am uncomfortable going to a gym because I feel so self-conscious in my workout clothes. I would rather stay at home just to avoid feeling embarrassed. The other day, I did poke my head into the gym that is nearby my work, but I felt so self-conscious that I just turned around and left. My doctor said that I had to start exercising, but I still don't feel all that motivated to be that physical. Plus, it is hard to find a good amount of time to exercise b/c you have to change your clothes and then you have to take a shower, wash your hair, re-do it, and well by the time you have done all that, there is not much time before you have to go to sleep. And personally, I just don't have the time or the desire to do all of this.","You've been thinking a lot about physical activity and ways that you might be able to get more into your routine. Despite the fact that you hate the gym, you even made your way over there to check it out. ",complex
"We tried to reduce the amount of TV she watches but it didn't go so well.  In the morning I need to get dressed, take a shower, make some breakfast and I usually end up letting her watch the Wiggles or Dexter's Laboratory just to give me some free time.  In the afternoon I feel it might be easier¦since maybe I could get her involved in an art project or playing outside.","You really want to decrease the amount of tv that your daughter watches. You have a lot going on in the morning so it's helpful to have the tv on when you're running around the house. But, you have started to consider what kinds of activities you might be able to engage her in if you were to turn off the tv in the afternoon. ",complex
"I tried giving my kids fruit for snack, if they don't have their cookies, they make a huge fuss.They expect sweets after school, and I can't stand the sound of their whining when they don't get what they want.  Plus, I kind of like baking homemade treats.","Your kids are pretty wed to a sweet treat after school. Baking something that has some fruit in it, or is a little more healthy might satisfy both you and your kids.",complex
"I've tried everything to help my child lose weight. I always have carrot sticks available and don't let him eat any fried food. I tell him exactly what he can have and watch what he eats very closely. I also make him exercise every day. I'm constantly on him, and yet he hasn't lost a pound!",You want to help your child in any way you can. You have his best interests in mind but you're starting to wonder if controlling everything he eats and how much he exercises is the way to go.,complex
"It's just difficult to change my snacking habits.Â  It's become like a hobby or something, it's what I look forward to when I have a stressful day... But I'm putting on a lot of weight and it seems that all I do for fun is eat.","For you, food is a source of joy and it helps you relax.Â  But you've also been concerned about what snacking does to your waistline.Â ",complex
"I really want to lose weight, and want to start working out, so this week I decided to go to the gym at 6am before work everyday.  But I keep oversleeping.","You're feeling like this is going to be your time to lose weight. You're motivated and ready to get started. Now, you just need to figure out a way to get out of bed in the morning. ",complex
"If I try to quit drinking, I'll have to go live on an island by myself for a month or so.  And I can't do that, I have a family.  My kids need me.  And it's not fair to them that I take out my anger on them.  And usually when I try to quit, my husband will hand me a drink after a couple hours and beg me to have some so I shut up.","Your drinking is causing conflict in your family. You're at a place where you know it'd be best for your family if you were to quit, but you're not sure how to make that happen without leaving to detox. ",complex
"Yeah  since they cut down my juice dose. I've been drinking a little bit, at least it's legal, hell I have two kids and no help. It beats trying to use on top, haven't done that for weeks.",It's been a struggle since your dose has been reduced. You've found that you've had to turn to alcohol to get you through.,complex
"If I want to find a job, I know I can.  I got good grades in high school, but right now, I just want to figure out where to live without having to be around these smack heads, being around them is bad for me.",You're ready to turn your life around. You know you have the skills to find a good job and provide for yourself. You just need to figure out a way to remove yourself from this situation.,complex
"I really want to lose weight, so this week I decided to be really good and tried to cut out all sweets from my diet. However, I felt miserable by the end of the day and finally broke down and ate a whole box of chocolates. ","You've been thinking about losing weight and decided that cutting out sweets might be a good place to start. While this attempt wasn't successful, it did teach you a couple things that you think you can apply to your next attempt. ",complex
"My problem is food at work. They give us free snacks all day, usually sweets and chips. You know junk and no matter how much I try to avoid going into the lounge,  I usually give in and sneak a handful of this or that. If they had something healthier maybe I would grab that instead.","It's really hard to stick to your resolve when you're at work and sweets and treats are all around. If you could find a way to stay out of the lounge, you might be willing to give it a try. ",complex
"Diets don't work for me.  I've tried them all.  I lose 10 then gain back 11.  Initially I feel great, then I end up feeling deprived and in the back of my mind I know I need to change how I eat and even my relationship with food. I have to stop eating fast food and all that dashboard dining.  I actually like cooking but I just don't make the effort to do it. It used to be fun, now it seems like chore who has 2 hours to cook such a fancy meal.",You're an expert at dieting. The problem that you've found is that you overly deprive yourself which then causes you to eat fast food.,complex
"I've tried to stop eating so many sweets and desserts. I love candy, ice cream, cake and anything with sugar. It tastes so good and makes me feel happy. I know it's not good for me, and diabetes runs in our family but I have a serious sweet tooth.","On one hand you love sweets and anything with sugar. But, on the other hand, you recognize that it's not good for you and with your family history of diabetes, you're already have a genetic predisposition that concerns you. ",complex
"I used to be really active.  Played tennis in a league, biked, hiked, but somehow life and middle age got in the way.  And now I do nothing. It feels weird starting it up again, what if I am no good at it, I used to be so good. I was an A grade player, I am going to feel like I suck, and I dread feeling winded and out of shape. I will probably be sore too the next day, it just seems so foreign to me now.","You used to be really active but you've gotten out of shape over the years. You're ready to get back to it but you have some concerns about feeling winded, being sore, and not being very good. If you had some plans in place to deal with those issues, you may be more likely to overcome them. ",complex
"My brother lost 10lbs the first week and 2lbs every week for a few months.  Me, I'm lucky to lose a pound.  I must be doing something wrong.  He always beats me at EVERYTHING. At this rate I am never going to lose the 50lbs.. I don't think I can do this.",You feel a bit discouraged when you compare your weight loss to your brothers.,complex
"Sure,  I would feed them better . I know all this junk food is bad. But it cost so much to buy healthy food. Have you seen the price of fresh fruits and vegetables lately. And, fish, forget about it. I can afford chicken, but they get bored with the same old thing.  And frozen vegetables have all that salt and MSG in it.","You really want to feel your children healthy food, but it feels like you're stuck between a rock and a hard place. Healthy food is expensive and when you are able to afford it, the kids sometimes turn their nose up.",complex
Do you have diabetes ? Do you have any idea how hard it is to live with this?,You're concerend that because I don't have diabetes I can't understand what you're going through.,complex
Have you ever tried to get off coke ? Do you have any idea how hard it is to quit this stuff?,You believe that I may not understand exactly how hard your struggle is.,complex
"So, were you ever heavy, how can you really relate to me?","You're worried that because I'm not overweight, I won't be able to help you. ",complex
Have you ever smoked ? Do you have any idea how hard it is to quit,You're worried that because I'm not a smoker I can't understand what you're going through.,complex
"So, have you ever had breast cancer or any cancer for  that matter, do you know what it's like to have your body turn on you like this?",You feel betrayed by your own body.,complex
"I don't want to come back. I am so scared of having Cancer, my mom died of it.",Your mom's experience still haunts you.,complex
"So do you have MS, do you know what it's like to have to inject yourself everyday, to live with such uncertainty.",Daily injections are a huge bummer and really have a negative impact on your life.,complex
"I don't eat any lunchmeat anymore, bread hardly ever, I don't hardly use salt anymore",You've really tried to change your diet in hopes of being healthier.,complex
"Well, I read canned vegetables are better than the fresh stuff.","You've done research to try to figure out what's healthire -- fresh or canned. If it's ok with you, I can share a little more....",complex
I can do that when I'm at the store.,You're committed to doing it the next time you head to the store.,complex
"I'd like to eat less processed foods, but I guess I'm not sure what those are. ","While you are ready to start eating fewer processed foods, you're going to need some information before you're ready to get started. If it's ok with you, I can share...",complex
"I like going to the gym, I like exercising; I exercise a couple hours a week. But I'm not sure what to do when the gym is closed.",You know that exericse is good for you and you enjoy going to the gym. Right now you're looking for ideas of things you can do to get physical activity on the days the gym is closed.,complex
"I know I am too big, and I probably should exercise more and eat better, but I am so busy. I've got school, homework, and my job at the mall, so I don't see anywhere to fit it in. Plus, I can't afford any of those gyms. And none of my friends want to exercise with me. They're lazier than I am.  ","You have put a lot of effort into losing weight but it has not paid off. You are starting to feel a bit desperate. Diets don't seem to work for you. You are looking for something different that might last.
",complex
I don't trust doctors.  I don't trust the CDC.  God gave us an immune system and as a healthy persons that is all I need to protect myself from getting COVID.   I think this is all a bunch of hysteria and profiteering by the Pharm industry,Putting your trust in others is hard for you. It scares you that a company or entity potentially could be experimenting on you with their treatments.,complex
"Doctor x, I don't want the Covid vaccine for me or my kids. They don't know enough about how safe it is and what long term side effects it causes. It is not for me or my family. ",You're concerned that not enough research has been done on the vaccine.,complex
I know I should probably get the vaccine. I have my mother living with me and she has type-2 diabetes. I would hate to bring it home to her. But I just don't know about those side effects. I heard it changes your DNA and the vaccine can give you the virus.,"You want to protect your mom, but you're worried about the side effects of being vaccinated.",complex
"I know because I am so heavy and have diabetes I probably should exercise more, but I am so busy. With the three kids and my new job I don't see anywhere to fit it in. Plus, I hate the gym.  I can't stand being around all that Lycra. My husband is useless because he already plays basketball four times a week.  ","because of your crazy schedule with the kids and your job, you just can't see how to make regular physical activity fit into your schedule right now.",complex
"Of course, I would like to lose weight and not feel gross all the time. But I hate all the diets my mom puts me on. I've tried them all. Every time I end up feeling deprived and hungry. Then I gain all the weight back. I'm getting ready to give up.","You're unhappy with how you feel in your skin. If you could find a way to lose weight that didn't include a restrictive diet, you might be willing to give it a try.",complex
Of course I would like to lose weight. But I hate diets. I've tried them all. Every time I end up feeling deprived and hungry. Then I gain all the weight back. I'm getting ready to give up.,You are starting to wonder if there is another way to go about this without depriving yourself.,complex
"We eat at Wendy's a few times a week. It's cheap, fast, my kids like it, and it's better than those other places.  There's a lot worse we could be eating.  Sure, there are better foods than that, but I don't have time to cook.","Because there aren't a lot of healthy foods in your house and money is tight, it makes it hard to eat better. So fast food is one of your only options. However, you care about your health and are starting to think about eating better than fast food.",complex
"I really need to find someone to exercise with. I can't do it alone.  I just need someone to remind me or do it with me, but there is no one.",Finding an accountability partner is something you've thought about trying. You think you might be able to be successful with exercise if you weren't on your own.,complex
"Look at you, were you ever heavy? How can you really relate to me?",You're concerned that I won't be able to relate to you because of my weight.,complex
"I know I need to eat better.   But I live alone, I'm a lousy cook, and I have no time or interest to learn how.  Sure, McDonalds is poison but it's fast and cheap and I'm not embarrassed to eat there alone.",You struggle finding meals for one. You'd like to eat healthier but since you don't have time to cook finding restaurants where you're comfortable eating alone is limiting.,complex
"Yes, I know all that TV and all those video games are not good for her. By what can I do?  I cannot afford a babysitter and I must get my work done. I work out of my home.",You're really in a pinch. You have to keep the kids occupied but you also have to get work done at home.,complex
"I really need to start exercising, but I hate the GYM. I joined the one nearby my house, but I never go. Everyone is so young and skinny; I hate those young girls in their little outfits. There is no way I would go there again, it was horrible.",You've really been thinking a lot about what you can do to improve your health. You've gone so far as to join the local gym but you didn't have the best experience when you were there.,complex
"I need to quit these damn cigarettes already. But I am so scared of the withdrawal, I am at a loss for what to do.","You know that cigarettes aren't great for you and you've started to think about what life after cigarettes might look like. If you could prepare for the symptoms of withdrawal, you might be ready to give quitting a try. ",complex
"I have tried every diet under the sun. To be honest Doc, I would love to lose weight but at this point I don't think I can do it. Maybe I need one of those stomach staples.",None of the diets you've tried have worked for you. You're starting to think that surgery might be helpful.,complex
"I have no energy.  The thought of working out now is out of the question.  I used to bike and play tennis but that seems a lifetime ago.  I would love to feel alive again, but I am just so tired all the time.","You used to bike and play tennis but that seems a bit outside your reach right now. If you could find a way to be active that wasn't super draining, it might be something you'd try.",complex
I've tried the Atkins diet and I lost a lot of weight. Then gained it all back. Then I tried the Zone diet but felt really hungry all the time. I just don't know what to do. I'm at my wit's end.,"While you've had some short term success with some of the diets you've tried, you've yet to find something that will work for you over the long haul. ",complex
"I just hate to exercise. Was never good at sports in school.   I know I need to lose weight, but I am not going to the gym. It just isn't going to happen.",You really dispise organized sports and gyms. You'd like to lose weight and might be able to be successful if you could other ways to be active.,complex
"I start a diet every day but once I get hungry, I lose my discipline.","If you could find a way to control your hunger throughout the day, you might be more successful. ",complex
"Of course, I would like to lose weight. But I hate diets. I've tried  them all. Each time I feel deprived and  feel hungry. Then I start to feel resentful.",You wish that things could be different. You're tired of being stuck in a never ending pattern of trying to lose weight without success.,complex
"I've done everything I'm supposed to do in this program, but it still hasn't worked.   I'm still gaining weight. I haven't lost a damn pound in months.",You're getting frustrated because it feels like you're doing everything you're supposed to be doing but the scale hasn't been moving recently.,complex
I would do about anything to lose these 50lbs.  But dieting doesn't work for me. Could you tell me what drugs or even surgery might help?,You're looking for advice for your weight loss because you're finding that dieting just isn't helping you.,complex
I like fruit but I like sweets more. If it's around I eat it but not if there is cake or cookies or ice cream. I guess I need to stop buying that crap.,You know that you need to start to think about your go-to treats a big differently if you want to be successful losing weight.,complex
"I only eat a few vegetables. Corn, raw carrots, peas, and potatoes. Not much into those slimy ones like okra, cooked peppers, and onions. Ugh! They have to be crunchy, or I get grossed out.","You have strong preferences when it comes to vegetables. If they're the right textures for your tastebuds, you don't really struggle getting in your servings each day. ",complex
"My wife does most of the cooking. But I do the shopping. If I buy vegetables, she will cook them.","You know that if you plan ahead and purchase vegetables for the week at the store, you'll be able to eat veggies at each meal all week. ",complex
"I buy fruit. But it sits in the bowl and rots. I hate having to throw out that rotten, mushy mess. It's such a waste.","On one hand, you know that buying fruit and having it on hand is important. On the other hand, you also know that if you buy too much fresh fruit it'll go to waste before you can eat it all. ",complex
"I'm on a tight budget and fresh fruit just costs so much.  Vegetables are a little less expensive, but you have to cook them. Fruit you can just eat.","Sometimes you find that the cost of fruit prevents you from buying as much as you'd like. If you could find a way to decrease the cost, you'd be willing to buy and eat more. ",complex
"I live alone and don't cook much. Veggies take so much time and effort to prepare. So, when I go out to eat, which is 4-5 times a week, I try to order veggies.","Since you live alone, you find that cooking for one is difficult. You struggle with finding ways to prepare veggies at home. ",complex
"My child cannot participate in the program because I work two jobs, my other kids are struggling in school. We are just too busy.","Between your work schedule and the kids' schooling, it just doesn't seem feasible right now to enroll.",complex
"We have done everything that we are supposed to do in this program, but it still hasn't worked.   My daughter is still gaining weight.",You're having a hard time understanding why your daughter is still gaining weight when you've both been putting in so much effort.,complex
Why bother? The other family in our house won't put a TV timer on their TV and our kids just go to the living room to watch with them.,Finding a balanace between your family's rules and the other family's rules is a huge struggle.,complex
"The food at school breakfast and lunch are all red lights, so it is hard for her to follow the diet.",Your daughter has a hard time finding healthy options at school.,complex
"My husband won't support the program, he wants whole milk because it is healthier and tastes better and wants our son to have it so he grows to be strong.",It sounds like you wish your husband was on board with the program. You think this could be a good fit for your son.,complex
"Every time I bring up my daughter's weight with her, it leads to a fight. She tells me to get off her case. Then my husband tells me to back off and let her be. She'll grow out of it, he says. But I think it's important to do something about it now, before it's too late.",You are a bit upset that your husband has not supported your efforts to help your daughter lose weight.,complex
"It breaks my heart to see her so heavy. I know what it's like to be a big teenager. It was terrible for me. I want to bring it up but I don't want to hurt her feelings. I tell her that she looks fine, but at the same time I know she is way too big for her age.",You feel trapped because you want to help her address it but it is too upsetting for you both to even talk about,complex
"I can't stand how much TV she watches. When I leave for work, she is watching talk shows. When she comes home from school more talk shows. I think she is frying her brain and wasting her talent. I don't know what to do about it.  I wish I could get her to be more active or to be involved in something more positive.","You are sad that she might be losing out on bigger and better things because she wastes so much time watching TV
.
",complex
"My son's problem is sweets. He loves candy, cake and ice cream. He won't eat any regular food and I feel so bad that he is hungry that I usually give in and let him have junk food, just so he gets something into his system.","
You might have to learn to tolerate him being hungry in order to get him to eat some healthier foods.",complex
"There is no way that I can let my son leave food on his plate and throw food out. I wasn't raised that way. I also don't think kids need choice about how much they eat, kids are given too much power in my opinion already. I am tired of the constant battle we have at mealtimes and all the tricks we need to pull off to get him to eat something, but letting him leave the table hungry, and taking away French fries and HI-c are going to be very stressful.",The way that you were raised around food rules impacts the way that you're trying to raise your son.,complex
"I eat at Wendy's a few times a week. It's cheap, it's fast, and it's better than those other places. There's a lot worse I could be eating. My parents don't buy healthy foods, and I don't have the money to buy them.","Ideally you would prefer not to be eating as much at fast food. You want to eat healthy foods but struggle figuring out how to make it happen since your parents don't buy fruits and vegetables when they grocery shop.  
",complex
I am so tired of my parents bugging me about my weight. They always comment on everything I eat. It is so annoying. I will deal with this my way.,"You don't like being treated like a child. You're growing up, you're aware of your weight, and you'll handle it when you're ready. ",complex
Vaping isn't nearly as bad as cigarettes. It doesn't cause cancer. Everyone does it. It's no big deal.,"Since vaping doesn't cause cancer, you're not really sure why it's so important not to do it. 
",complex
"Chewing is so much better than cigarettes. You can do it while you work. I know it isn't great for me, but I need the little buzz to keep me alert.","If you could find something else to give you an afternoon boost, you might consider cutting back.",complex
I am just not going to give up my iqmik.  I already gave up cigarettes and alcohol.   We make it ourselves and we know what goes into it.  Everyone wants to take away everything that helps me cope with my stress.  And sweetie I got lots of stress.,You've put a ton of effort into giving up cigarettes and alcohol. Giving up iqmik would be next to impossible for you.,complex
"Of course, I have to quit at some point, but now is just not the time. I know what it's like to go through the withdrawal and it's pretty awful. I was able to quit a few years ago, with the help of that gum, but with my wife losing her job and having to work so much overtime, I don't think I have the energy to deal with it right now.","You have a lot of experience with quitting. You've tried to quit before and were successful. Once you're ready, you'll be able to pull from what you know to be successful again. ",complex
Why should I quit? I am in good shape. I play soccer. I am thin. My father smoked until he was 80. Most of my mates smoke and no one has died from it. I don't believe its as bad as you all say.,"because of your family's experience, you're confident smoking is something you're going to do for the rest of your life.
",complex
"Maybe it's time to quit. I am 55, my dad died of heart disease, and I am coughing up all this junk every morning.",Your dad's passing and the junk you're coughing up both seem to be signs that it might be time to start thinking about what it would look like to quit.,complex
I don't know why people who never smoked keep bugging me to quit.  My doctor has no idea  how hard it is to even try quitting. I've tried to quit many times but can't even go two days.  No one knows how hard it is to give it up out of the blue.,"
You're frustrated that quitting hasn't come easy.
",complex
"I am still working, as I am the sole bread winner in the family  my husband is unemployed. We have another child who is a toddler, and things are hard financially. And sometimes, I get very angry and upset so smoking helps me calm down. I sometimes feel it is all I have left.",A cigarette now and then helps keep you sane and grounded and prevents you from taking out your frustrations on your family.,complex
"I know that 2 cigarettes per day are not a problem to the health of the baby. I know that I cannot give them up completely (it would be stressful), so as long as I stay at 2 per day, it should be fine.",You can't imagine what it would look like to cut down to less than two cigarettes a day.,complex
"I smoked throughout my previous pregnancy, and it was fine  both me and the baby were fine. I don't feel it is a problem I should focus on.",There's absolutely no reason for you to quit smoking right now.,complex
I don't have what it takes to stop smoking. I am not ambitious enough. I am not tough enough to beat this.,You're feeling a bit defeated. Quitting feels out of reach.,complex
"We didn't plan for this pregnancy, it was all unexpected. And I have been feeling fine, no morning sickness, no nothing. It feels like nothing changed in my life, except for this belly which keeps growing. So, I don't feel I should change anything about my life. That's why I don't feel I need to stop smoking.","Since you feel the same now as you did before getting pregnant, you don't really see a reason to quit. But, if you were feeling differently or not feeling that great during your first trimester, you might feel differently. ",complex
"I cannot stop thinking about how I am hurting my baby by continuing smoking. But I cannot stop. And the more I think about it, the more I smoke and feel bad about it.",You really want to quit but you're unsure how since you haven't been successful in the past.,complex
"No one can tell me what to do. If I want to smoke, I will and I will stop when I feel like it. I have reduced the number of cigarettes anyway, so I don't smoke that much anymore, but if anyone tells me to quit, I feel like I want to light up a cigarette right then.",You've really worked hard to cut back and you've been successful. You've found things that have worked well for you.,complex
"I think that it may become difficult to stay smoke free once I return to work. There is a ritual in the office, it's how we start the days and take breaks. I could not guarantee that once I return to work and the baby is all grown up I won't start again. But definitely not now, while I am breastfeeding and around the little one all day.",You want to stay smoke-free once you return to work. You're realizing that you'll need a plan in place before heading back so that you're prepared for the daily office rituals that can lead to smoking.,complex
"I was never a real smoker, you know? Just when I was having a hard time at work or when stress gets really bad, but it doesn't happen often enough for me to call myself a smoker. It's not like I ever had a pack a day. Even if I start again, it won't be more than a few a day.","If you did smoke more than you do now, you would consider yourself a smoker and potentially be looking for ways to cut back or quit.  ",complex
"The biggest challenge is having friends over and seeing them smoke. I used to smoke with my (female) friends and just gossip and catch up. And I don't miss smoking per se, but when they come to visit me, especially now when the child is small and everyone comes to see him, it's sometimes hard to see everyone smoking.",You feel really conflicted between wanting girl time with your friends and knowing you'll be tempted to smoke when they're around.,complex
"My husband still smokes. But he only smokes on the balcony, so not around me, although he did smoke next to me when we went out last time. Then it wasn't a temptation, because my reasons for quitting are strong, but I guess that could be a temptation to start smoking again in the future.",You wish that your husband would quit with you.,complex
"I tried to stop smoking but it is very difficult when I go to work, as all my colleagues smoke during our breaks.  It is hard to say no when everyone around you is smoking.",You wish that it was different at work. You'd really like to find a way to quit but your co-workers smoking are too large of a temptation that you don't feel able to overcome.,complex
"I know that smoking is harmful, but I don't see myself being affected by it. I read the warnings on the cigarette packs, and I even looked for information online. So, I know what it does. But I don't feel it will happen to me.","While you're aware that smoking can be detrimental to your health, you're pretty confident that nothing bad will happen to you. ",complex
"At this point I am smoke free. I decided to do this while I'm breastfeeding. However, I will probably start smoking after breastfeeding ends. I am a physician and I know that five cigarettes a day won't kill me.",You see absolutely no benefit to stayng quit after your done breastfeeding.,complex
"I feel very agitated when I try to quit smoking.  Also, the doctor told me, if things get rough, instead of being depressive or anxious, I can light up a cigarette, have three puffs and then discard it. So, I have reduced smoking, but I cannot quit completely. I sometimes still smoke a quarter of a cigarette to keep myself calm.","Your smoking feels a bit out of control. You want to quit, you put a lot of effort in, but the messages you're receiving about having just a couple puffs feel like they're setting you back a bit -- almost like a loophold that makes it ok to keep smoking. ",complex
"Since I quit smoking I never thought about it. I am only thinking about it now, that you brought it up.",You were successfully able to put smoking behind you. You really see yourself as a non smoker now.,complex
"I don't consider myself as someone who has quit smoking.  I don't say that to people because very often people's response to that is Everyone starts smoking again eventually!  It's like they want to warn you not to get ahead of yourself. So, I just get discouraged and I would rather not say that or talk about smoking with the others, although I guess that I am no longer a smoker since I have stopped smoking for some time now.",You are more optomistic than others about your long term success with quitting. You feel like you've really got this under control.,complex
"My husband supports me. He actually forbids me to smoke. I don't necessarily like this, you can imagine. Sometimes it actually makes me want to smoke more, but I still don't do it, because I am doing this for the baby's health. But it's really unpleasant when we talk about it. He still smoking of course.",Your husband's opinions on whether or not you smoke weighs on you a bit.,complex
"My reasons (to quit) have very much to do with the baby's health. I could not imagine smoking after we found out I was pregnant and I think my husband felt the same. And now we are so happy and I breastfeed, so I could not intoxicate him or smell like cigarettes around him, you know how hands smell when you smoke¦ But after I no longer breastfeed and he is grown up, I really couldn't say, if we want us to be honest here. It's too hard to imagine what may happen in 2-3 years or more.","You quit for your baby's health, but your baby is growing up and you're not sure you won't smoke again.",complex
"My husband does not like how my mouth smells, after smoking. He is glad that I stopped smoking, so this will help me in the future to stay smoke free.",There are a ton of things you love about being smoke free. RIght now you and your husband are both really enjoying that fresh breath feeling.,complex
"Now that I have stopped smoking, I will never smoke again. I know myself and once I decide something, I never turn back.",You're really commited to being a non-smoker for life.,complex
"I tried to quit smoking several times, however, each time I started smoking again. But after I found out I was pregnant, I never thought of smoking again. The baby is the greatest motivation. There are no temptations to smoke. Now I am focusing on raising the baby. The baby is my life.  That should keep me from smoking.",Getting pregnant gave you all the motivation you need to stay smoke-free.,complex
"After becoming pregnant, something changed in my body and my body rejected cigarettes. I was feeling sick when I smoked and even just from smelling the smoke. Now I can't believe how foolish I was to ever smoke.","Now that you're pregnant, smoking isn't as appealing as it used to be. ",complex
"There is no need for you (counselor) and I to discuss how my wife can remain smoke free. If a person wants to do something, they will just do it. If she wants to smoke, she will smoke, it is not something that we can influence.",You support your wife either way. You're going to stand by her side as a smoker or as a nonsmoker.,complex
"I quit when my wife decided to quit, because I do not think that such a change can happen unless both partners work together. But she has been through so much stress because of the baby's health problems that I sometimes worry she will start smoking just because of all that stress and pressure.","You really want to be there for your wife. Ultimately, you'd like her to stay quit but you know that there might just be too many stressors right now. ",complex
"I'm happy she  quit, but I do not think I would fight with her or even say something if she started smoking again, we do not have that kind of relationship. I respect her and I would eventually accept this, especially because I know she would not smoke around the child or while breastfeeding.",You understand the importance of intrinsic motivation and finding your own reasons to stay quit. You want to make sure that your wife stays quit without feeling a bunch of pressure from you.,complex
"I don't want to help my wife to stay smoke free. It's her job, not mine, her decision, not mine. I can't force her or convince her to stop smoking. She can do whatever she wants with her life now that the baby has come.",You'd rather your wife handle this on her own.,complex
Is not up for discussion if she starts smoking or not. She won't. I won't allow her that.,You're confident she's not smoking.,complex
What? She told you she did not smoke for several months? She just smoked yesterday. She won't stop smoking.,You're confused to hear that your wife's story is different.,complex
